SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
14,Bitcoin,BTC,2/14/2021 23:59,49487.64087,47114.50959,47114.50959,48717.29021,71248675228,9.07551E+11
15,Bitcoin,BTC,2/15/2021 23:59,48875.57161,46347.47709,48696.53666,47945.05683,77069903166,8.9321E+11
16,Bitcoin,BTC,2/16/2021 23:59,50341.10325,47201.30375,47944.45801,49199.87134,77049582886,9.16623E+11
17,Bitcoin,BTC,2/17/2021 23:59,52533.91431,49072.37714,49207.27643,52149.00754,80820545404,9.71612E+11
18,Bitcoin,BTC,2/18/2021 23:59,52474.10725,51015.76455,52140.97272,51679.79669,52054723579,9.62915E+11
19,Bitcoin,BTC,2/19/2021 23:59,56113.65055,50937.27572,51675.98129,55888.13368,63495496918,1.04138E+12
20,Bitcoin,BTC,2/20/2021 23:59,57505.22819,54626.55978,55887.33571,56099.52051,68145460026,1.04537E+12
21,Bitcoin,BTC,2/21/2021 23:59,58330.57214,55672.60951,56068.56825,57539.94367,51897585191,1.07226E+12
22,Bitcoin,BTC,2/22/2021 23:59,57533.38933,48967.56519,57532.73886,54207.31907,92052420332,1.01021E+12
23,Bitcoin,BTC,2/23/2021 23:59,54204.92976,45290.59027,54204.92976,48824.42687,1.06102E+11,9.09926E+11
24,Bitcoin,BTC,2/24/2021 23:59,51290.13669,47213.49816,48835.08766,49705.33332,63695521388,9.26393E+11
25,Bitcoin,BTC,2/25/2021 23:59,51948.96698,47093.85302,49709.08242,47093.85302,54506565949,8.77766E+11
26,Bitcoin,BTC,2/26/2021 23:59,48370.78526,44454.84211,47180.46405,46339.76008,3.50968E+11,8.63752E+11
27,Bitcoin,BTC,2/27/2021 23:59,48253.2701,45269.02577,46344.77224,46188.45128,45910946382,8.60978E+11
